bucket,state,commodity,market,signal,reason,volatility_cv,avg_forecast_bandwidth,next7_mean_forecast,last7_mean_actual
Bucket1,Andaman and Nicobar,Rice,Retail,Stock Early,Forecast indicates upward movement,0.062330998670739164,1.5296520547473587,43.6331593292968,43.51857142857143
Bucket1,Andhra Pradesh,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289977198483425,1.481046671745283,43.6115415466005,43.48142857142857
Bucket1,Arunachal pradesh,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06279866370245196,1.4969063101340794,43.613647429310625,43.48142857142857
Bucket1,Assam,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06285688545398777,1.4951758468420162,43.61249155756328,43.48142857142857
Bucket1,Bihar,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Chandigarh,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06273843711001666,1.46800296316141,43.602134862437914,43.462857142857146
Bucket1,Chhattisgarh,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Delhi,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,DNH and DD,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06222184040809932,1.4165990334929972,43.617769019424536,43.48142857142857
Bucket1,Goa,Rice,Retail,Stock Early,Forecast indicates upward movement,0.0619235920257295,1.3130173649963235,43.67540383078648,43.62714285714286
Bucket1,Gujarat,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Haryana,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Himachal Pradesh,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Jammu and Kashmir,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06233412088373046,1.532584645951033,43.619964514806604,43.48142857142857
Bucket1,Jharkhand,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Karnataka,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Kerala,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06128717765306277,1.3171646495197564,43.68599645566261,43.56714285714286
Bucket1,Madhya Pradesh,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Maharashtra,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Meghalaya,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06288982807987982,1.480785344460081,43.611451263791075,43.48142857142857
Bucket1,Mizoram,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06271560643607521,1.479604240181657,43.612378869430664,43.48142857142857
Bucket1,Nagaland,Rice,Retail,Stock Early,Forecast indicates upward movement,0.062134306424471715,1.5348841563203366,43.64070462249947,43.51857142857143
Bucket1,Odisha,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289279797764341,1.4819810596930958,43.611498113133464,43.48142857142857
Bucket1,Puducherry,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06254506129342637,1.4738885484583444,43.617496501823325,43.48142857142857
Bucket1,Punjab,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289279797764341,1.4819810596930958,43.611498113133464,43.48142857142857
Bucket1,Rajasthan,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289279797764341,1.4819810596930958,43.611498113133464,43.48142857142857
Bucket1,Sikkim,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06268275841592323,1.5216201873594122,43.616176080542495,43.48142857142857
Bucket1,Tamil Nadu,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289279797764341,1.4819810596930958,43.611498113133464,43.48142857142857
Bucket1,Telangana,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289279797764341,1.4819810596930958,43.611498113133464,43.48142857142857
Bucket1,Tripura,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06239173841592866,1.489236448201534,43.6158508094119,43.48142857142857
Bucket1,Uttar Pradesh,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289279797764341,1.4819810596930958,43.611498113133464,43.48142857142857
Bucket1,Uttarakhand,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06264761090090332,1.447135919045875,43.62517790438567,43.51857142857143
Bucket1,West Bengal,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06289279797764341,1.4819810596930958,43.611498113133464,43.48142857142857
Bucket1,Manipur,Rice,Retail,Stock Early,Forecast indicates upward movement,0.06375930582125257,2.8188773424318323,43.72230943319438,43.699999999999996
Bucket1,Andaman and Nicobar,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06718936642069562,141.70019486783647,3900.5041597705526,3889.0157142857142
Bucket1,Andhra Pradesh,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06777027186512291,140.2297598686976,3897.269064310035,3883.4242857142854
Bucket1,Arunachal pradesh,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06773895098641988,140.99259136144903,3897.573948022294,3883.4242857142854
Bucket1,Assam,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06775732267737722,140.6045258716212,3897.427957997231,3883.4242857142854
Bucket1,Bihar,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Chandigarh,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.0675135252231719,138.19246232171488,3894.8205776062937,3878.0685714285714
Bucket1,Chhattisgarh,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Delhi,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06778718580200366,140.44089633278867,3897.2965438196916,3883.4242857142854
Bucket1,Goa,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06682492439662092,126.63937267986127,3906.0115959725085,3900.5728571428567
Bucket1,Gujarat,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776519051468094,140.20079227571873,3897.2676672530574,3883.4242857142854
Bucket1,Haryana,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Himachal Pradesh,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Jammu and Kashmir,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06725900492030466,143.6817031510909,3898.3461324187583,3883.4242857142854
Bucket1,Jharkhand,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Karnataka,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Kerala,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06633398941015303,128.23375773966958,3905.1757147930985,3891.7
Bucket1,Madhya Pradesh,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Maharashtra,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Manipur,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06897450806663065,274.5135183656425,3902.246598286759,3906.6699999999996
Bucket1,Meghalaya,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Nagaland,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06705497379495452,141.89878038802195,3900.888947190004,3889.0157142857142
Bucket1,Odisha,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Puducherry,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06751691529674093,138.973189968461,3898.1645980223852,3883.4242857142854
Bucket1,Punjab,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Rajasthan,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Sikkim,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06752504991507548,143.73668445563254,3898.0227755252868,3883.4242857142854
Bucket1,Tamil Nadu,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Telangana,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Tripura,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06730189880929065,137.4209926979155,3897.6269161507257,3883.4242857142854
Bucket1,Uttar Pradesh,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Uttarakhand,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06757537598909717,135.0262524671881,3899.4988289678454,3889.0157142857142
Bucket1,West Bengal,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06776325612875785,140.23793698846242,3897.270312215641,3883.4242857142854
Bucket1,Mizoram,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06768183351914632,140.68320402245934,3897.4660559428603,3883.4242857142854
Bucket1,DNH and DD,Rice,Wholesale,Risk Zone Alert,High volatility/uncertainty,0.06722928525484273,136.79733571242062,3898.3279894966026,3883.4242857142854
Bucket1,Andaman and Nicobar,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025110089666717683,1.6240614400211844,35.74454956852784,35.72
Bucket1,Andhra Pradesh,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059681467220613,1.7076484246870682,35.74094525460008,35.72714285714286
Bucket1,Arunachal pradesh,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025088906676773378,1.6962675469345654,35.7423666595842,35.72714285714286
Bucket1,Assam,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.024970846629587595,1.6725349572056165,35.74223443214078,35.72714285714286
Bucket1,Bihar,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
Bucket1,Chandigarh,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.02515672564108267,1.71443445255332,35.73428982470953,35.714285714285715
Bucket1,Chhattisgarh,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
Bucket1,Delhi,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
Bucket1,DNH and DD,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025374518955903588,1.6544841254850453,35.74810294711188,35.72714285714286
Bucket1,Goa,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025516961380131126,1.5733081619611866,35.7526276230174,35.73428571428571
Bucket1,Gujarat,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
Bucket1,Haryana,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
Bucket1,Himachal Pradesh,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
Bucket1,Jammu and Kashmir,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025195341358149815,1.6194126870044718,35.74721446180839,35.72714285714286
Bucket1,Jharkhand,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
Bucket1,Karnataka,Atta (Wheat),Retail,Stock Early,Forecast indicates upward movement,0.025059917575903156,1.7077106480111561,35.74092277929997,35.72714285714286
